Loss Function,Test Loss,Test MAE,I_trapez - I_pred,I_ref - I_pred,I_ref - I_trapez
LogCosh,8.044382411753759e-05,0.00942598469555378,0.004496168975535397,0.005006029402785828,0.0005098604272504303
Huber,0.00046132443821989,0.02080150693655014,0.011350051187871912,0.011859911615122343,0.0005098604272504303
MeanAbsoluteError,0.027691315859556198,0.027691315859556198,0.011626201154555815,0.012136061581806246,0.0005098604272504303
MeanSquaredError,0.000412658613640815,0.016333838924765587,0.013867666799901812,0.013357806372651382,0.0005098604272504303
MeanAbsoluteError,0.016142234206199646,0.016142234206199646,0.0011698713315624332,0.0006600109043120028,0.0005098604272504303
Huber,0.00015935425471980125,0.012443632818758488,0.006781823116870811,0.007291683544121241,0.0005098604272504303
MeanSquaredError,0.00172299740370363,0.03295937180519104,0.016715231469872194,0.016205371042621763,0.0005098604272504303
LogCosh,0.0001461435604142025,0.013068248517811298,0.021512655069223285,0.021002794641972855,0.0005098604272504303
Huber,8.627177885500714e-05,0.009991578757762909,3.1546510495417124e-05,0.0004783139167550132,0.0005098604272504303
MeanSquaredError,0.0001745180634316057,0.010371639393270016,0.00020429841283942096,0.0007141588400898513,0.0005098604272504303
LogCosh,6.866150943096727e-05,0.008886282332241535,0.004662514850561905,0.004152654423311475,0.0005098604272504303
MeanAbsoluteError,0.026358366012573242,0.026358366012573242,0.046118710681836816,0.045608850254586386,0.0005098604272504303
LogCosh,0.0001194851502077654,0.010905135422945023,0.0030785169103761945,0.002568656483125764,0.0005098604272504303
MeanSquaredError,0.00016705131565686315,0.010091841220855713,0.0023496500013173716,0.002859510428567802,0.0005098604272504303
Huber,7.663590804440901e-05,0.00867892149835825,0.005094698801361375,0.004584838374110944,0.0005098604272504303
MeanAbsoluteError,0.01710641197860241,0.01710641197860241,0.013648884079074719,0.01415874450632515,0.0005098604272504303
MeanAbsoluteError,0.025852954015135765,0.025852954015135765,0.0025645696971778875,0.002054709269927457,0.0005098604272504303
LogCosh,4.043332955916412e-05,0.006752028129994869,0.004105251122092923,0.004615111549343354,0.0005098604272504303
Huber,9.921696619130671e-05,0.010034429840743542,0.00546026482441242,0.00597012525166285,0.0005098604272504303
MeanSquaredError,0.0002725551603361964,0.012738825753331184,0.0181130704460557,0.01760321001880527,0.0005098604272504303
LogCosh,0.00013159157242625952,0.012121755629777908,0.005660324497652525,0.005150464070402094,0.0005098604272504303
Huber,0.00042764091631397605,0.021366192027926445,0.0076771677458964405,0.00818702817314687,0.0005098604272504303
MeanSquaredError,0.0003526689833961427,0.01473598275333643,0.010463797968684574,0.009953937541434144,0.0005098604272504303
MeanAbsoluteError,0.01891268976032734,0.01891268976032734,0.01892465491065387,0.01841479448340344,0.0005098604272504303
MeanSquaredError,0.000210511963814497,0.010683722794055939,0.0006474875030608729,0.00013762707581044253,0.0005098604272504303
LogCosh,0.00013817082799505442,0.013341709040105343,0.005821139358301863,0.006330999785552294,0.0005098604272504303
Huber,0.0001435399753972888,0.013190106488764286,0.00940777041783214,0.00889790999058171,0.0005098604272504303
MeanAbsoluteError,0.021091120317578316,0.021091120317578316,0.010646897922509169,0.010137037495258738,0.0005098604272504303
LogCosh,0.000102464749943465,0.011106138117611408,0.0019994074706275455,0.0014895470433771152,0.0005098604272504303
Huber,6.904121983097866e-05,0.009215051308274269,0.005795979163025322,0.0063058395902757525,0.0005098604272504303
MeanSquaredError,0.0009520807070657611,0.022261066362261772,0.025483665627829666,0.025993526055080096,0.0005098604272504303
MeanAbsoluteError,0.028616979718208313,0.028616979718208313,0.028186553295064698,0.027676692867814268,0.0005098604272504303
MeanSquaredError,0.00012193894508527592,0.007270557340234518,0.0010447277046576886,0.001554588131908119,0.0005098604272504303
Huber,0.00017263604968320578,0.013628016225993633,0.004893874983453728,0.004384014556203297,0.0005098604272504303
MeanAbsoluteError,0.033206917345523834,0.033206917345523834,0.008884018024930995,0.008374157597680565,0.0005098604272504303
LogCosh,0.00019923530635423958,0.016257071867585182,0.009012475713920054,0.009522336141170484,0.0005098604272504303
MeanAbsoluteError,0.022371718659996986,0.022371718659996986,0.011383667915572104,0.011893528342822535,0.0005098604272504303
LogCosh,0.00017936757649295032,0.016182469204068184,0.02503576708009625,0.02452590665284582,0.0005098604272504303
MeanSquaredError,0.0033881671261042356,0.04830663651227951,0.04290357178704163,0.0423937113597912,0.0005098604272504303
Huber,0.0006277544889599085,0.02915438450872898,0.04992243047581901,0.04941257004856858,0.0005098604272504303
